Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
A1BG		"Alpha-1-B glycoprotein"	P04217			"Evidence at protein level"
A1CF	"ACF, ACF64, ACF65, APOBEC1CF, ASP"	"APOBEC1 complementation factor"	Q9NQ94	"mRNA processing"	RNA-binding	"Evidence at protein level"
A2M	"CPAMD5, FWP007, S863-7"	Alpha-2-macroglobulin	P01023		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
A2ML1	"CPAMD9, FLJ25179, p170"	"Alpha-2-macroglobulin like 1"	A8K2U0		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
A3GALT2	"A3GALT2P, IGB3S, IGBS3S"	"Alpha 1,3-galactosyltransferase 2"	U3KPV4	"Lipid metabolism"	"Glycosyltransferase, Transferase"	"Evidence at transcript level"
A4GALT	"A14GALT, Gb3S, P(k), P1"	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	"Lipid biosynthesis, Lipid metabolism"	"Glycosyltransferase, Transferase"	"Evidence at protein level"
A4GNT	alpha4GnT	Alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3		"Glycosyltransferase, Transferase"	"Evidence at protein level"
AAAS		"Aladin WD repeat nucleoporin"	Q9NRG9	"mRNA transport, Protein transport, Translocation, Transport"		"Evidence at protein level"
AACS	"ACSF1, FLJ12389, SUR-5"	"Acetoacetyl-CoA synthetase"	Q86V21	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
AADAC	"CES5A1, DAC"	"Arylacetamide deacetylase"	P22760	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
AADACL2	MGC72001	"Arylacetamide deacetylase like 2"	Q6P093		Hydrolase	"Evidence at protein level"
AADACL3		"Arylacetamide deacetylase like 3"	Q5VUY0		Hydrolase	"Evidence at transcript level"
AADACL4		"Arylacetamide deacetylase like 4"	Q5VUY2		Hydrolase	"Evidence at transcript level"
AADAT	"KAT2, KATII, KYAT2"	"Aminoadipate aminotransferase"	Q8N5Z0		"Aminotransferase, Transferase"	"Evidence at protein level"
AAGAB	"FLJ11506, p34"	"Alpha and gamma adaptin binding protein"	Q6PD74	"Protein transport, Transport"		"Evidence at protein level"
AAK1	"DKFZp686K16132, KIAA1048"	"AP2 associated kinase 1"	Q2M2I8	Endocytosis	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
AAMDC	"C11orf67, CK067, FLJ21035, PTD015"	"Adipogenesis associated Mth938 domain containing"	Q9H7C9			"Evidence at protein level"
AAMP		"Angio associated migratory cell protein"	Q13685	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"
AANAT	SNAT	"Aralkylamine N-acetyltransferase"	Q16613	"Biological rhythms, Melatonin biosynthesis"	"Acyltransferase, Transferase"	"Evidence at protein level"
AAR2	"bA234K24.2, C20orf4"	"AAR2 splicing factor"	Q9Y312	"mRNA processing, mRNA splicing"		"Evidence at protein level"
AARD	"C8orf85, LOC441376"	"Alanine and arginine rich domain containing protein"	Q4LEZ3			"Evidence at protein level"
AARS1	"AARS, AlaRS, CMT2N"	"Alanyl-tRNA synthetase 1"	P49588	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Evidence at protein level"
AARS2	"AARSL, bA444E17.1, KIAA1270"	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Evidence at protein level"
AARSD1	"AlaXp, MGC2744"	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	"Protein biosynthesis"		"Evidence at protein level"
AASDH	"ACSF4, LYS2, NRPS998"	"Aminoadipate-semialdehyde dehydrogenase"	Q4L235	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
AASDHPPT	"AASD-PPT, ACPS, CGI-80, LYS5"	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	Q9NRN7		Transferase	"Evidence at protein level"
AASS	"LKRSDH, LORSDH"	"Aminoadipate-semialdehyde synthase"	Q9UDR5		"Multifunctional enzyme, Oxidoreductase"	"Evidence at protein level"
AATF	"BFR2, CHE-1, CHE1, DED"	"Apoptosis antagonizing transcription factor"	Q9NY61			"Evidence at protein level"
AATK	"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77"	"Apoptosis associated tyrosine kinase"	Q6ZMQ8		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ABAT	"GABA-T, GABAT"	"4-aminobutyrate aminotransferase"	P80404	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Evidence at protein level"
